Month-yyyy,Canada,Mexico,United States
Jul-21,601590855,2069147425,3902594079
Aug-21,468421602,1640613060,2921646239
Sep-21,677232167,2053629446,4384831255
Oct-21,461869434,1649126754,2940456852
Nov-21,491592261,1616519016,3155434200
Dec-21,647039261,2127080326,3902033176
Jan-22,436584077,1648468424,3021340864
Feb-22,448595806,1819597735,3053692029
Mar-22,510683872,2320029116,3509368559
Apr-22,402582103,1771945414,2777216502
May-22,457835585,2197726196,3417761624
Jun-22,556887636,2663041753,3812439919
